;Luontobongaajien kerho ry
; Kenttien järjestys tiedostossa on seuraava:
;id|nimi|tieteellinen_nimi|heimo|laji
1|Ruokokerttunen|Acrocephalus schoenobaenus|Kerttuset, Acrocephalidae|Lintu
2|Harmaahaikara|Ardea cinerea|Haikarat, Ardeidae|Lintu
3|Suopöllö|Asio flammeus|Pöllöt, Strigidae|Lintu
4|Luhtakana|Rallus aquaticus|Rantakanat, Rallidae|Lintu
5|Merikihu|Stercorarius parasiticus|Kihut, Stercorariidae|Lintu
6|Pohjansirkku|Schoeniclus rusticus|Sirkut, Emberizidae|Lintu
7|Härkälintu|Podiceps grisegena|Uikut, Podicipedidae|Lintu
8|Törmäpääsky|Riparia riparia|Pääskyt, Hirundinidae|Lintu
9|Räkättirastas|Turdus pilaris|Rastaat, Turdidae|Lintu
10|Pajusirkku|Schoeniclus schoeniclus|Sirkut, Emberizidae|Lintu
11|Jouhisorsa|Anas acuta|Sorsat, Anatidae|Lintu
12|Kivitasku|Oenanthe oenanthe|Siepot, Muscicapidae|Lintu
13|Valkoposkihanhi|Branta leucopsis|Sorsat, Anatidae|Lintu
14|Tilhi|Bombycilla garrulus|Tilhet, Bombycillidae|Lintu
15|Punatulkku|Pyrrhula pyrrhula|Peipot, Fringillidae|Lintu
16|Pensaskerttu|Sylvia communis|Kertut, Sylviidae|Lintu
17|Kirjosiipikäpylintu|Loxia leucoptera|Peipot, Fringillidae|Lintu
18|Pyrstötiainen|Aegithalos caudatus|Pyrstötiaiset, Aegithalidae|Lintu
19|Lapintiainen|Poecile cinctus|Tiaiset, Paridae|Lintu
20|Sepelkyyhky|Columba palumbus|Kyyhkyt, Columbidae|Lintu
21|Pulmussirri|Calidris alba|Kurpat, Scolopacidae|Lintu
22|Lehtokerttu|Sylvia borin|Kertut, Sylviidae|Lintu
23|Kiljuhanhi|Anser erythropus|Sorsat, Anatidae|Lintu
24|Kulorastas|Turdus viscivorus|Rastaat, Turdidae|Lintu
25|Käki|Cuculus canorus|Käet, Cuculidae|Lintu
26|Naurulokki|Chroicocephalus ridibundus|Lokit, Laridae|Lintu
27|Mustajoutsen|Cygnus atratus|Sorsat, Anatidae|Lintu
28|Mustapyrstökuiri|Limosa limosa|Kurpat, Scolopacidae|Lintu
29|Virtavästäräkki|Motacilla cinerea|Västäräkit, Motacillidae|Lintu
30|Lapasotka|Aythya marila|Sorsat, Anatidae|Lintu
31|Sinisuohaukka|Circus cyaneus|Haukat, Accipitridae|Lintu
32|Laulurastas|Turdus philomelos|Rastaat, Turdidae|Lintu
33|Kuovisirri|Calidris ferruginea|Kurpat, Scolopacidae|Lintu
34|Naakka|Corvus monedula|Varikset, Corvidae|Lintu
35|Tuulihaukka|Falco tinnunculus|Jalohaukat, Falconidae|Lintu
36|Lampiviklo|Tringa stagnatilis|Kurpat, Scolopacidae|Lintu
37|Metsäviklo|Tringa ochropus|Kurpat, Scolopacidae|Lintu
38|Isokäpylintu|Loxia pytyopsittacus|Peipot, Fringillidae|Lintu
39|Selkälokki|Larus fuscus|Lokit, Laridae|Lintu
40|Satakieli|Luscinia luscinia|Siepot, Muscicapidae|Lintu
41|Närhi|Garrulus glandarius|Varikset, Corvidae|Lintu
42|Suokukko|Calidris pugnax|Kurpat, Scolopacidae|Lintu
43|Liejukana|Gallinula chloropus|Rantakanat, Rallidae|Lintu
44|Keräkurmitsa|Eudromias morinellus|Kurmitsat, Charadriidae|Lintu
45|Kangaskiuru|Lullula arborea|Kiurut, Alaudidae|Lintu
46|Varpuspöllö|Glaucidium passerinum|Pöllöt, Strigidae|Lintu
47|Turturikyyhky|Streptopelia turtur|Kyyhkyt, Columbidae|Lintu
48|Heinätavi|Spatula querquedula|Sorsat, Anatidae|Lintu
49|Punarinta|Erithacus rubecula|Siepot, Muscicapidae|Lintu
50|Teeri|Lyrurus tetrix|Aitokanat, Phasianidae|Lintu
51|Laulujoutsen|Cygnus cygnus|Sorsat, Anatidae|Lintu
52|Pikkusirkku|Schoeniclus pusillus|Sirkut, Emberizidae|Lintu
53|Pohjantikka|Picoides tridactylus|Tikat, Picidae|Lintu
54|Luhtahuitti|Porzana porzana|Rantakanat, Rallidae|Lintu
55|Varpushaukka|Accipiter nisus|Haukat, Accipitridae|Lintu
56|Uuttukyyhky|Columba oenas|Kyyhkyt, Columbidae|Lintu
57|Rantasipi|Actitis hypoleucos|Kurpat, Scolopacidae|Lintu
58|Harmaasorsa|Mareca strepera|Sorsat, Anatidae|Lintu
59|Suosirri|Calidris alpina|Kurpat, Scolopacidae|Lintu
60|Urpiainen|Acanthis flammea|Peipot, Fringillidae|Lintu
61|Merimetso|Phalacrocorax carbo|Merimetsot, Phalacrocoracidae|Lintu
62|Vesipääsky|Phalaropus lobatus|Kurpat, Scolopacidae|Lintu
63|Kottarainen|Sturnus vulgaris|Kottaraiset, Sturnidae|Lintu
64|Maakotka|Aquila chrysaetos|Haukat, Accipitridae|Lintu
65|Tunturihaukka|Falco rusticolus|Jalohaukat, Falconidae|Lintu
66|Sinirinta|Luscinia svecica|Siepot, Muscicapidae|Lintu
67|Harmaalokki|Larus argentatus|Lokit, Laridae|Lintu
68|Punakaulahanhi|Branta ruficollis|Sorsat, Anatidae|Lintu
69|Haapana|Mareca penelope|Sorsat, Anatidae|Lintu
70|Pikku-uikku|Tachybaptus ruficollis|Uikut, Podicipedidae|Lintu
71|Morsiosorsa|Aix sponsa|Sorsat, Anatidae|Lintu
72|Haarahaukka|Milvus migrans|Haukat, Accipitridae|Lintu
73|Ruisrääkkä|Crex crex|Rantakanat, Rallidae|Lintu
74|Tervapääsky|Apus apus|Kiitäjät, Apodidae|Lintu
75|Kapustarinta|Pluvialis apricaria|Kurmitsat, Charadriidae|Lintu
76|Peltopyy|Perdix perdix|Aitokanat, Phasianidae|Lintu
77|Lapinsirri|Calidris temminckii|Kurpat, Scolopacidae|Lintu
78|Sinipyrstö|Tarsiger cyanurus|Siepot, Muscicapidae|Lintu
79|Kuhankeittäjä|Oriolus oriolus|Kuhankeittäjät, Oriolidae|Lintu
80|Metso|Tetrao urogallus|Aitokanat, Phasianidae|Lintu
81|Keltahemppo|Serinus serinus|Peipot, Fringillidae|Lintu
82|Etelänkiisla|Uria aalge|Ruokit, Alcidae|Lintu
83|Tavi|Anas crecca|Sorsat, Anatidae|Lintu
84|Luotokirvinen|Anthus petrosus|Västäräkit, Motacillidae|Lintu
85|Käpytikka|Dendrocopos major|Tikat, Picidae|Lintu
86|Harakka|Pica pica|Varikset, Corvidae|Lintu
87|Karikukko|Arenaria interpres|Kurpat, Scolopacidae|Lintu
88|Meriharakka|Haematopus ostralegus|Meriharakat, Haematopodidae|Lintu
89|Heinäkurppa|Gallinago media|Kurpat, Scolopacidae|Lintu
90|Isokoskelo|Mergus merganser|Sorsat, Anatidae|Lintu
91|Sinisorsa|Anas platyrhynchos|Sorsat, Anatidae|Lintu
92|Tukkakoskelo|Mergus serrator|Sorsat, Anatidae|Lintu
93|Varis|Corvus corone cornix|Varikset, Corvidae|Lintu
94|Tundrakurmitsa|Pluvialis squatarola|Kurmitsat, Charadriidae|Lintu
95|Fasaani|Phasianus colchicus|Aitokanat, Phasianidae|Lintu
96|Ruskosuohaukka|Circus aeruginosus|Haukat, Accipitridae|Lintu
97|Sitruunavästäräkki|Motacilla citreola|Västäräkit, Motacillidae|Lintu
98|Kuovi|Numenius arquata|Kurpat, Scolopacidae|Lintu
99|Liro|Tringa glareola|Kurpat, Scolopacidae|Lintu
100|Kehrääjä|Caprimulgus europaeus|Kehrääjät, Caprimulgidae|Lintu
101|Västäräkki|Motacilla alba|Västäräkit, Motacillidae|Lintu
102|Räyskä|Hydroprogne caspia|Tiirat, Sternidae|Lintu
103|Puukiipijä|Certhia familiaris|Puukiipijät, Certhiidae|Lintu
104|Pikkukuovi|Numenius phaeopus|Kurpat, Scolopacidae|Lintu
105|Punajalkaviklo|Tringa totanus|Kurpat, Scolopacidae|Lintu
